Timestamp,CPU%,Memory%,Disk%,NetSent(B/s),NetRecv(B/s)
2025-03-30 18:40:08,18.8,55.1,2.8,1024.0,409.6
2025-03-30 18:40:14,6.5,55.1,2.8,4915.2,3686.4
2025-03-30 18:40:20,9.3,55.0,2.8,6963.2,7577.6
2025-03-30 18:40:26,8.6,55.0,2.8,15360.0,9216.0
2025-03-30 18:40:32,10.0,55.3,2.8,8192.0,4096.0
2025-03-30 18:40:38,8.5,55.1,2.8,1433.6,1433.6
2025-03-30 18:45:19,21.0,55.5,2.8,1024.0,819.2
